full,team,coach,coach_start,GM,gm_start
Anaheim Ducks,ANA,Greg Cronin,"June 5, 2023",Pat Verbeek,"February 3, 2022"
Arizona Coyotes,ARI,Inactive[e],"April 18, 2024",Inactive[a],"April 18, 2024"
Boston Bruins,BOS,Jim Montgomery,"July 1, 2022",Don Sweeney,"May 20, 2015"
Buffalo Sabres,BUF,Lindy Ruff,"April 22, 2024",Kevyn Adams,"June 16, 2020"
Calgary Flames,CGY,Ryan Huska,"June 12, 2023",Craig Conroy,"May 23, 2023"
Carolina Hurricanes,CAR,Rod Brind'Amour,"May 8, 2018",Don Waddell,"May 8, 2018"
Chicago Blackhawks,CHI,Luke Richardson,"June 27, 2022",Kyle Davidson,"October 26, 2021"
Colorado Avalanche,COL,Jared Bednar,"August 25, 2016",Chris MacFarland,"July 11, 2022"
Columbus Blue Jackets,CBJ,Pascal Vincent,"September 17, 2023",John Davidson (Interim),"February 15, 2024"
Dallas Stars,DAL,Peter DeBoer,"June 21, 2022",Jim Nill,"April 29, 2013"
Detroit Red Wings,DET,Derek Lalonde,"June 30, 2022",Steve Yzerman,"April 19, 2019"
Edmonton Oilers,EDM,Kris Knoblauch,"November 12, 2023",Ken Holland,"May 7, 2019"
Florida Panthers,FLA,Paul Maurice,"June 22, 2022",Bill Zito,"September 2, 2020"
Los Angeles Kings,LAK,Jim Hiller (interim),"February 2, 2024",Rob Blake,"April 10, 2017"
Minnesota Wild,MIN,John Hynes,"November 27, 2023",Bill Guerin,"August 21, 2019"
Montreal Canadiens,MTL,Martin St. Louis,"February 9, 2022",Kent Hughes,"January 18, 2022"
Nashville Predators,NSH,Andrew Brunette,"May 31, 2023",Barry Trotz,"July 1, 2023"
New Jersey Devils,NJD,Travis Green (interim),"March 4, 2024",Tom Fitzgerald,"January 12, 2020"
New York Islanders,NYI,Patrick Roy,"January 20, 2024",Lou Lamoriello,"June 5, 2018"
New York Rangers,NYR,Peter Laviolette,"June 13, 2023",Chris Drury,"May 5, 2021"
Ottawa Senators,OTT,Jacques Martin (interim),"December 18, 2023",Steve Staios,"November 1, 2023"
Philadelphia Flyers,PHI,John Tortorella,"June 17, 2022",Daniel Briere,"March 10, 2023"
Pittsburgh Penguins,PIT,Mike Sullivan,"December 12, 2015",Kyle Dubas,"August 3, 2023"
San Jose Sharks,SJS,David Quinn,"July 21, 2022",Mike Grier,"July 5, 2022"
St. Louis Blues,STL,Drew Bannister (interim),"December 12, 2023",Doug Armstrong,"July 1, 2010"
Tampa Bay Lightning,TBL,Jon Cooper,"March 25, 2013",Julien BriseBois,"September 11, 2018"
Toronto Maple Leafs,TOR,Sheldon Keefe,"November 20, 2019",Brad Treliving,"May 31, 2023"
Vancouver Canucks,VAN,Rick Tocchet,"January 22, 2023",Patrik Allvin,"January 26, 2022"
Vegas Golden Knights,VGK,Bruce Cassidy,"June 14, 2022",Kelly McCrimmon,"September 1, 2019"
Washington Capitals,WSH,Spencer Carbery,"May 30, 2023",Brian MacLellan,"May 26, 2014"
Winnipeg Jets,WPG,Rick Bowness,"July 3, 2022",Kevin Cheveldayoff,"June 8, 2011"
Seattle Kraken,SEA,Dave Hakstol,"June 24, 2021",Ron Francis,"July 18, 2019"
