team,coach,coach_start,GM,gm_start
ANA,Greg Cronin,"June 5, 2023",Pat Verbeek,"February 3, 2022"
BOS,Jim Montgomery,"July 1, 2022",Don Sweeney,"May 20, 2015"
BUF,Lindy Ruff,"April 22, 2024",Kevyn Adams,"June 16, 2020"
CGY,Ryan Huska,"June 12, 2023",Craig Conroy,"May 23, 2023"
CAR,Rod Brind'Amour,"May 8, 2018",Eric Tulsky,"May 24, 2024"
CHI,Luke Richardson,"June 27, 2022",Kyle Davidson,"October 26, 2021"
COL,Jared Bednar,"August 25, 2016",Chris MacFarland,"July 11, 2022"
CBJ,Vacant[f],"June 17, 2024",Don Waddell,"May 28, 2024"
DAL,Peter DeBoer,"June 21, 2022",Jim Nill,"April 29, 2013"
DET,Derek Lalonde,"June 30, 2022",Steve Yzerman,"April 19, 2019"
EDM,Kris Knoblauch,"November 12, 2023",Jeff Jackson (interim),"June 27, 2024"
FLA,Paul Maurice,"June 22, 2022",Bill Zito,"September 2, 2020"
LAK,Jim Hiller,"February 2, 2024",Rob Blake,"April 10, 2017"
MIN,John Hynes,"November 27, 2023",Bill Guerin,"August 21, 2019"
MTL,Martin St. Louis,"February 9, 2022",Kent Hughes,"January 18, 2022"
NSH,Andrew Brunette,"May 31, 2023",Barry Trotz,"July 1, 2023"
NJD,Sheldon Keefe,"May 23, 2024",Tom Fitzgerald,"January 12, 2020"
NYI,Patrick Roy,"January 20, 2024",Lou Lamoriello,"June 5, 2018"
NYR,Peter Laviolette,"June 13, 2023",Chris Drury,"May 5, 2021"
OTT,Travis Green,"May 7, 2024",Steve Staios,"November 1, 2023"
PHI,John Tortorella,"June 17, 2022",Daniel Briere,"March 10, 2023"
PIT,Mike Sullivan,"December 12, 2015",Kyle Dubas,"August 3, 2023"
SJS,Ryan Warsofsky,"June 13, 2024",Mike Grier,"July 5, 2022"
SEA,Dan Bylsma,"May 28, 2024",Ron Francis,"July 18, 2019"
STL,Drew Bannister,"December 12, 2023",Doug Armstrong,"July 1, 2010"
TBL,Jon Cooper,"March 25, 2013",Julien BriseBois,"September 11, 2018"
TOR,Craig Berube,"May 17, 2024",Brad Treliving,"May 31, 2023"
UTA,Andre Tourigny,"April 18, 2024",Bill Armstrong,"April 18, 2024"
VAN,Rick Tocchet,"January 22, 2023",Patrik Allvin,"January 26, 2022"
VGK,Bruce Cassidy,"June 14, 2022",Kelly McCrimmon,"September 1, 2019"
WSH,Spencer Carbery,"May 30, 2023",Brian MacLellan,"May 26, 2014"
WPG,Scott Arniel,"May 24, 2024",Kevin Cheveldayoff,"June 8, 2011"
